id: 0x420001c5, name: OFO003_DEFAULT.PNX, group: 0x1000005f, partId: 0x74000007
id: 0x420001c6, name: OFO004_DEFAULT.PNX, group: 0x10000060, partId: 0x74000007
id: 0x420001c7, name: OFO005_DEFAULT.PNX, group: 0x10000061, partId: 0x74000007
id: 0x420001c8, name: OFO006_DEFAULT.PNX, group: 0x10000062, partId: 0x74000007
id: 0x420001c9, name: OFO007_DEFAULT.PNX, group: 0x10000063, partId: 0x74000007
id: 0x420001ca, name: OFO008_DEFAULT.PNX, group: 0x10000064, partId: 0x74000007
id: 0x420001cb, name: OFO009_DEFAULT.PNX, group: 0x10000065, partId: 0x74000007
id: 0x420001cc, name: OFO010_DEFAULT.PNX, group: 0x10000066, partId: 0x74000007
id: 0x420001cd, name: HEADHAIRM009B_INVENTORY.PNX, group: 0x10000353, partId: 0x70000205
id: 0x420001ce, name: HEADHAIRM010A_INVENTORY.PNX, group: 0x100000ab, partId: 0x70000205
id: 0x420001cf, name: HEADHAIRM010B_INVENTORY.PNX, group: 0x10000354, partId: 0x70000205
id: 0x420001d0, name: HEADHAIRM011A_INVENTORY.PNX, group: 0x100000ac, partId: 0x70000205
id: 0x420001d1, name: HEADHAIRM011B_INVENTORY.PNX, group: 0x10000355, partId: 0x70000205
id: 0x420001d2, name: HEADHAIRM012A_INVENTORY.PNX, group: 0x100000ad, partId: 0x70000205
id: 0x420001d3, name: HEADHAIRM012B_INVENTORY.PNX, group: 0x10000356, partId: 0x70000205
id: 0x420001d4, name: HEADHAIRM013A_INVENTORY.PNX, group: 0x100000ae, partId: 0x70000205
id: 0x420001d5, name: HEADHAIRM013B_INVENTORY.PNX, group: 0x10000357, partId: 0x70000205
id: 0x420001d6, name: HEADHAIRM014A_INVENTORY.PNX, group: 0x100000af, partId: 0x70000205
id: 0x420001d7, name: HEADHAIRM014B_INVENTORY.PNX, group: 0x10000358, partId: 0x70000205
id: 0x420001d8, name: HEADHAIRM015A_INVENTORY.PNX, group: 0x100000b0, partId: 0x70000205
id: 0x420001d9, name: HEADHAIRM015B_INVENTORY.PNX, group: 0x10000359, partId: 0x70000205
id: 0x420001da, name: LOWERF001A_INVENTORY.PNX, group: 0x1000002f, partId: 0x70000205
id: 0x420001db, name: LOWERF001B_INVENTORY.PNX, group: 0x1000035a, partId: 0x70000205
id: 0x420001dc, name: LOWERF001C_INVENTORY.PNX, group: 0x1000035b, partId: 0x70000205
id: 0x420001dd, name: LOWERF001U_INVENTORY.PNX, group: 0x1000035c, partId: 0x70000205
id: 0x420001de, name: LOWERF002A_INVENTORY.PNX, group: 0x10000030, partId: 0x70000205
id: 0x420001df, name: LOWERF002B_INVENTORY.PNX, group: 0x1000035d, partId: 0x70000205
id: 0x420001e0, name: LOWERF002C_INVENTORY.PNX, group: 0x1000035e, partId: 0x70000205
id: 0x420001e1, name: LOWERF002U_INVENTORY.PNX, group: 0x1000035f, partId: 0x70000205
id: 0x420001e2, name: LOWERF003A_INVENTORY.PNX, group: 0x10000031, partId: 0x70000205
id: 0x420001e3, name: LOWERF003B_INVENTORY.PNX, group: 0x10000360, partId: 0x70000205
id: 0x420001e4, name: LOWERF003C_INVENTORY.PNX, group: 0x10000361, partId: 0x70000205
id: 0x420001e5, name: LOWERF004A_INVENTORY.PNX, group: 0x10000032, partId: 0x70000205
id: 0x420001e6, name: LOWERF004B_INVENTORY.PNX, group: 0x10000362, partId: 0x70000205
id: 0x420001e7, name: LOWERF004C_INVENTORY.PNX, group: 0x10000363, partId: 0x70000205
id: 0x420001e8, name: LOWERF005A_INVENTORY.PNX, group: 0x10000033, partId: 0x70000205
id: 0x420001e9, name: LOWERF005B_INVENTORY.PNX, group: 0x10000364, partId: 0x70000205
id: 0x420001ea, name: LOWERF005C_INVENTORY.PNX, group: 0x10000365, partId: 0x70000205
id: 0x420001eb, name: LOWERF006A_INVENTORY.PNX, group: 0x10000034, partId: 0x70000205
id: 0x420001ec, name: LOWERF006B_INVENTORY.PNX, group: 0x10000366, partId: 0x70000205
id: 0x420001ed, name: LOWERF006C_INVENTORY.PNX, group: 0x10000367, partId: 0x70000205
id: 0x420001ee, name: LOWERF007A_INVENTORY.PNX, group: 0x10000035, partId: 0x70000205
id: 0x420001ef, name: LOWERF007B_INVENTORY.PNX, group: 0x10000368, partId: 0x70000205
id: 0x420001f0, name: LOWERF008A_INVENTORY.PNX, group: 0x10000036, partId: 0x70000205
id: 0x420001f1, name: LOWERF008B_INVENTORY.PNX, group: 0x10000369, partId: 0x70000205
id: 0x420001f2, name: LOWERF008C_INVENTORY.PNX, group: 0x1000036a, partId: 0x70000205
id: 0x420001f3, name: LOWERF009A_INVENTORY.PNX, group: 0x10000037, partId: 0x70000205
id: 0x420001f4, name: LOWERF009B_INVENTORY.PNX, group: 0x1000036b, partId: 0x70000205
id: 0x420001f5, name: LOWERF009C_INVENTORY.PNX, group: 0x1000036c, partId: 0x70000205
id: 0x420001f6, name: LOWERF010A_INVENTORY.PNX, group: 0x10000038, partId: 0x70000205
id: 0x420001f7, name: LOWERF010B_INVENTORY.PNX, group: 0x1000036d, partId: 0x70000205
id: 0x420001f8, name: LOWERF010C_INVENTORY.PNX, group: 0x1000036e, partId: 0x70000205
id: 0x420001f9, name: LOWERF011A_INVENTORY.PNX, group: 0x10000039, partId: 0x70000205
id: 0x420001fa, name: LOWERF011B_INVENTORY.PNX, group: 0x1000036f, partId: 0x70000205
id: 0x420001fb, name: LOWERF012A_INVENTORY.PNX, group: 0x1000003a, partId: 0x70000205
id: 0x420001fc, name: LOWERF012B_INVENTORY.PNX, group: 0x10000370, partId: 0x70000205
id: 0x420001fd, name: LOWERF013A_INVENTORY.PNX, group: 0x1000003b, partId: 0x70000205
id: 0x420001fe, name: LOWERF013B_INVENTORY.PNX, group: 0x10000371, partId: 0x70000205
id: 0x420001ff, name: LOWERF014A_INVENTORY.PNX, group: 0x1000003c, partId: 0x70000205
id: 0x42000200, name: LOWERF014B_INVENTORY.PNX, group: 0x10000372, partId: 0x70000205
id: 0x42000201, name: LOWERF015A_INVENTORY.PNX, group: 0x1000003d, partId: 0x70000205
id: 0x42000202, name: LOWERF015B_INVENTORY.PNX, group: 0x10000373, partId: 0x70000205
id: 0x42000203, name: LOWERM001A_INVENTORY.PNX, group: 0x100000b1, partId: 0x70000205
id: 0x42000204, name: LOWERM001B_INVENTORY.PNX, group: 0x10000374, partId: 0x70000205
id: 0x42000205, name: LOWERM001C_INVENTORY.PNX, group: 0x10000375, partId: 0x70000205
id: 0x42000206, name: LOWERM002A_INVENTORY.PNX, group: 0x100000b2, partId: 0x70000205
id: 0x42000207, name: LOWERM002B_INVENTORY.PNX, group: 0x10000376, partId: 0x70000205
id: 0x42000208, name: LOWERM002C_INVENTORY.PNX, group: 0x10000377, partId: 0x70000205
id: 0x42000209, name: LOWERM003A_INVENTORY.PNX, group: 0x100000b3, partId: 0x70000205
id: 0x4200020a, name: LOWERM003B_INVENTORY.PNX, group: 0x10000378, partId: 0x70000205
id: 0x4200020b, name: LOWERM003C_INVENTORY.PNX, group: 0x10000379, partId: 0x70000205
id: 0x4200020c, name: LOWERM004A_INVENTORY.PNX, group: 0x100000b4, partId: 0x70000205
id: 0x4200020d, name: LOWERM004B_INVENTORY.PNX, group: 0x1000037a, partId: 0x70000205
id: 0x4200020e, name: LOWERM004C_INVENTORY.PNX, group: 0x1000037b, partId: 0x70000205
id: 0x4200020f, name: LOWERM005A_INVENTORY.PNX, group: 0x100000b5, partId: 0x70000205
id: 0x42000210, name: LOWERM005B_INVENTORY.PNX, group: 0x1000037c, partId: 0x70000205
id: 0x42000211, name: LOWERM005C_INVENTORY.PNX, group: 0x1000037d, partId: 0x70000205
id: 0x42000212, name: LOWERM006A_INVENTORY.PNX, group: 0x100000b6, partId: 0x70000205
id: 0x42000213, name: LOWERM006B_INVENTORY.PNX, group: 0x1000037e, partId: 0x70000205
id: 0x42000214, name: LOWERM006C_INVENTORY.PNX, group: 0x1000037f, partId: 0x70000205
id: 0x42000215, name: LOWERM007A_INVENTORY.PNX, group: 0x100000b7, partId: 0x70000205
id: 0x42000216, name: LOWERM007B_INVENTORY.PNX, group: 0x10000380, partId: 0x70000205
id: 0x42000217, name: LOWERM007C_INVENTORY.PNX, group: 0x10000381, partId: 0x70000205
id: 0x42000218, name: LOWERM008A_INVENTORY.PNX, group: 0x100000b8, partId: 0x70000205
id: 0x42000219, name: LOWERM008B_INVENTORY.PNX, group: 0x10000382, partId: 0x70000205
id: 0x4200021a, name: LOWERM008C_INVENTORY.PNX, group: 0x10000383, partId: 0x70000205
id: 0x4200021b, name: LOWERM009A_INVENTORY.PNX, group: 0x100000b9, partId: 0x70000205
id: 0x4200021c, name: LOWERM009B_INVENTORY.PNX, group: 0x10000384, partId: 0x70000205
id: 0x4200021d, name: LOWERM010A_INVENTORY.PNX, group: 0x100000ba, partId: 0x70000205
id: 0x4200021e, name: LOWERM010B_INVENTORY.PNX, group: 0x10000385, partId: 0x70000205
id: 0x4200021f, name: LOWERM011A_INVENTORY.PNX, group: 0x100000bb, partId: 0x70000205
id: 0x42000220, name: LOWERM011B_INVENTORY.PNX, group: 0x10000386, partId: 0x70000205
id: 0x42000221, name: LOWERM012A_INVENTORY.PNX, group: 0x100000bc, partId: 0x70000205
id: 0x42000222, name: LOWERM012B_INVENTORY.PNX, group: 0x10000387, partId: 0x70000205
id: 0x42000223, name: LOWERM013A_INVENTORY.PNX, group: 0x100000bd, partId: 0x70000205
id: 0x42000224, name: LOWERM013B_INVENTORY.PNX, group: 0x10000388, partId: 0x70000205
id: 0x42000225, name: LOWERM014A_INVENTORY.PNX, group: 0x100000be, partId: 0x70000205
id: 0x42000226, name: LOWERM014B_INVENTORY.PNX, group: 0x10000389, partId: 0x70000205
id: 0x42000227, name: LOWERM015A_INVENTORY.PNX, group: 0x100000bf, partId: 0x70000205
id: 0x42000228, name: LOWERM015B_INVENTORY.PNX, group: 0x1000038a, partId: 0x70000205
id: 0x42000229, name: UPPERF001A_INVENTORY.PNX, group: 0x1000003e, partId: 0x70000205
id: 0x4200022a, name: UPPERF001B_INVENTORY.PNX, group: 0x1000038b, partId: 0x70000205
id: 0x4200022b, name: UPPERF001C_INVENTORY.PNX, group: 0x1000038c, partId: 0x70000205
id: 0x4200022c, name: UPPERF001U_INVENTORY.PNX, group: 0x1000038d, partId: 0x70000205
id: 0x4200022d, name: UPPERF002A_INVENTORY.PNX, group: 0x1000003f, partId: 0x70000205
id: 0x4200022e, name: UPPERF002B_INVENTORY.PNX, group: 0x1000038e, partId: 0x70000205
id: 0x4200022f, name: UPPERF002U_INVENTORY.PNX, group: 0x1000038f, partId: 0x70000205
id: 0x42000230, name: UPPERF003A_INVENTORY.PNX, group: 0x10000040, partId: 0x70000205
id: 0x42000231, name: UPPERF003B_INVENTORY.PNX, group: 0x10000390, partId: 0x70000205
id: 0x42000232, name: UPPERF004A_INVENTORY.PNX, group: 0x10000041, partId: 0x70000205
id: 0x42000233, name: UPPERF004B_INVENTORY.PNX, group: 0x10000391, partId: 0x70000205
id: 0x42000234, name: UPPERF004C_INVENTORY.PNX, group: 0x10000392, partId: 0x70000205
